Date,Level
1/1/1946,176.56
2/1/1946,176.57
3/1/1946,176.65
4/1/1946,176.7
5/1/1946,176.7
6/1/1946,176.75
7/1/1946,176.77
8/1/1946,176.69
9/1/1946,176.6
10/1/1946,176.49
11/1/1946,176.42
12/1/1946,176.32
1/1/1947,176.28
2/1/1947,176.28
3/1/1947,176.25
4/1/1947,176.39
5/1/1947,176.57
6/1/1947,176.72
7/1/1947,176.8
8/1/1947,176.81
9/1/1947,176.77
10/1/1947,176.72
11/1/1947,176.65
12/1/1947,176.56
1/1/1948,176.48
2/1/1948,176.42
3/1/1948,176.47
4/1/1948,176.61
5/1/1948,176.72
6/1/1948,176.73
7/1/1948,176.72
8/1/1948,176.67
9/1/1948,176.57
10/1/1948,176.4
11/1/1948,176.32
12/1/1948,176.26
1/1/1949,176.2
2/1/1949,176.19
3/1/1949,176.19
4/1/1949,176.26
5/1/1949,176.31
6/1/1949,176.34
7/1/1949,176.38
8/1/1949,176.34
9/1/1949,176.22
10/1/1949,176.14
11/1/1949,176.02
12/1/1949,175.94
1/1/1950,175.96
2/1/1950,175.99
3/1/1950,176.02
4/1/1950,176.17
5/1/1950,176.27
6/1/1950,176.34
7/1/1950,176.42
8/1/1950,176.44
9/1/1950,176.43
10/1/1950,176.4
11/1/1950,176.34
12/1/1950,176.35
1/1/1951,176.34
2/1/1951,176.34
3/1/1951,176.41
4/1/1951,176.58
5/1/1951,176.75
6/1/1951,176.82
7/1/1951,176.91
8/1/1951,176.93
9/1/1951,176.92
10/1/1951,176.93
11/1/1951,176.95
12/1/1951,176.95
1/1/1952,176.95
2/1/1952,176.96
3/1/1952,176.96
4/1/1952,177.08
5/1/1952,177.17
6/1/1952,177.22
7/1/1952,177.26
8/1/1952,177.28
9/1/1952,177.22
10/1/1952,177.06
11/1/1952,176.94
12/1/1952,176.92
1/1/1953,176.85
2/1/1953,176.82
3/1/1953,176.83
4/1/1953,176.91
5/1/1953,177
6/1/1953,177.07
7/1/1953,177.12
8/1/1953,177.11
9/1/1953,177.02
10/1/1953,176.92
11/1/1953,176.81
12/1/1953,176.74
1/1/1954,176.63
2/1/1954,176.6
3/1/1954,176.64
4/1/1954,176.71
5/1/1954,176.83
6/1/1954,176.92
7/1/1954,176.96
8/1/1954,176.94
9/1/1954,176.9
10/1/1954,176.98
11/1/1954,176.95
12/1/1954,176.89
1/1/1955,176.83
2/1/1955,176.78
3/1/1955,176.76
4/1/1955,176.82
5/1/1955,176.88
6/1/1955,176.91
7/1/1955,176.88
8/1/1955,176.79
9/1/1955,176.64
10/1/1955,176.54
11/1/1955,176.46
12/1/1955,176.38
1/1/1956,176.31
2/1/1956,176.3
3/1/1956,176.32
4/1/1956,176.37
5/1/1956,176.5
6/1/1956,176.57
7/1/1956,176.62
8/1/1956,176.62
9/1/1956,176.56
10/1/1956,176.45
11/1/1956,176.37
12/1/1956,176.29
1/1/1957,176.22
2/1/1957,176.19
3/1/1957,176.17
4/1/1957,176.2
5/1/1957,176.28
6/1/1957,176.35
7/1/1957,176.43
8/1/1957,176.38
9/1/1957,176.33
10/1/1957,176.24
11/1/1957,176.21
12/1/1957,176.16
1/1/1958,176.15
2/1/1958,176.13
3/1/1958,176.12
4/1/1958,176.14
5/1/1958,176.12
6/1/1958,176.12
7/1/1958,176.15
8/1/1958,176.11
9/1/1958,176.07
10/1/1958,175.98
11/1/1958,175.91
12/1/1958,175.81
1/1/1959,175.75
2/1/1959,175.75
3/1/1959,175.79
4/1/1959,175.92
5/1/1959,176.06
6/1/1959,176.11
7/1/1959,176.12
8/1/1959,176.12
9/1/1959,176.1
10/1/1959,176.1
11/1/1959,176.13
12/1/1959,176.12
1/1/1960,176.14
2/1/1960,176.16
3/1/1960,176.14
4/1/1960,176.24
5/1/1960,176.5
6/1/1960,176.64
7/1/1960,176.72
8/1/1960,176.77
9/1/1960,176.73
10/1/1960,176.64
11/1/1960,176.57
12/1/1960,176.48
1/1/1961,176.38
2/1/1961,176.31
3/1/1961,176.33
4/1/1961,176.36
5/1/1961,176.42
6/1/1961,176.44
7/1/1961,176.46
8/1/1961,176.45
9/1/1961,176.43
10/1/1961,176.38
11/1/1961,176.32
12/1/1961,176.24
1/1/1962,176.2
2/1/1962,176.17
3/1/1962,176.19
4/1/1962,176.26
5/1/1962,176.34
6/1/1962,176.37
7/1/1962,176.36
8/1/1962,176.32
9/1/1962,176.26
10/1/1962,176.17
11/1/1962,176.06
12/1/1962,175.97
1/1/1963,175.89
2/1/1963,175.85
3/1/1963,175.85
4/1/1963,175.94
5/1/1963,176.02
6/1/1963,176.06
7/1/1963,176.04
8/1/1963,176.03
9/1/1963,175.98
10/1/1963,175.9
11/1/1963,175.8
12/1/1963,175.71
1/1/1964,175.63
2/1/1964,175.59
3/1/1964,175.58
4/1/1964,175.61
5/1/1964,175.74
6/1/1964,175.76
7/1/1964,175.78
8/1/1964,175.77
9/1/1964,175.76
10/1/1964,175.7
11/1/1964,175.65
12/1/1964,175.62
1/1/1965,175.6
2/1/1965,175.62
3/1/1965,175.67
4/1/1965,175.77
5/1/1965,175.94
6/1/1965,176
7/1/1965,176.02
8/1/1965,176.04
9/1/1965,176.07
10/1/1965,176.1
11/1/1965,176.07
